TIME	LOAD	DISPLACEMENT	STRAIN GAGE	•ËL	E.STRESS	E.STRAIN	T.STRESS	T.STRAIN
10.255	-503.475	0.216	0.008	0.216	-251.469	0.719	-253.277	0.716
10.268	-535.853	0.232	0.008	0.232	-267.641	0.772	-269.706	0.769
10.281	-530.996	0.258	0.008	0.258	-265.215	0.859	-267.494	0.856
10.294	-503.475	0.247	0.008	0.247	-251.469	0.824	-253.542	0.821
10.307	-497.809	0.226	0.008	0.226	-248.639	0.754	-250.514	0.751
10.320	-527.758	0.237	0.008	0.237	-263.598	0.789	-265.678	0.786
10.333	-545.566	0.247	0.008	0.247	-272.492	0.824	-274.738	0.821
10.346	-521.283	0.258	0.008	0.258	-260.363	0.859	-262.601	0.856
10.359	-505.903	0.237	0.008	0.237	-252.682	0.789	-254.676	0.786
10.372	-518.045	0.216	0.008	0.216	-258.746	0.719	-260.607	0.716
10.385	-552.851	0.242	0.008	0.242	-276.131	0.807	-278.358	0.804
10.398	-544.757	0.253	0.008	0.253	-272.088	0.842	-274.378	0.838
10.411	-521.283	0.253	0.008	0.253	-260.363	0.842	-262.555	0.838
10.423	-518.045	0.210	0.008	0.210	-258.746	0.702	-260.561	0.699
10.436	-539.091	0.232	0.008	0.232	-269.258	0.772	-271.335	0.769
10.449	-556.898	0.247	0.008	0.247	-278.152	0.824	-280.445	0.821
10.462	-537.472	0.253	0.008	0.253	-268.449	0.842	-270.709	0.838
10.475	-516.426	0.232	0.008	0.232	-257.938	0.772	-259.928	0.769
10.488	-526.949	0.221	0.008	0.221	-263.193	0.737	-265.132	0.734
10.501	-560.136	0.237	0.008	0.237	-279.769	0.789	-281.977	0.786
10.514	-551.232	0.258	0.008	0.258	-275.322	0.859	-277.688	0.856
10.527	-527.758	0.247	0.008	0.247	-263.598	0.824	-265.770	0.821
10.540	-522.902	0.221	0.008	0.221	-261.172	0.737	-263.096	0.734
10.553	-550.423	0.226	0.008	0.226	-274.918	0.754	-276.991	0.751
10.566	-564.993	0.247	0.008	0.247	-282.195	0.824	-284.521	0.821
10.579	-543.947	0.258	0.008	0.258	-271.683	0.859	-274.018	0.856
10.592	-524.521	0.237	0.008	0.237	-261.980	0.789	-264.048	0.786
10.605	-529.377	0.232	0.008	0.232	-264.406	0.772	-266.447	0.769
10.618	-567.421	0.253	0.008	0.253	-283.408	0.842	-285.794	0.838
10.631	-561.755	0.247	0.008	0.247	-280.578	0.824	-282.891	0.821
10.644	-530.996	0.253	0.008	0.253	-265.215	0.842	-267.447	0.838
10.657	-529.377	0.232	0.008	0.232	-264.406	0.772	-266.447	0.769
10.670	-552.042	0.226	0.008	0.226	-275.726	0.754	-277.806	0.751
10.683	-573.897	0.247	0.008	0.247	-286.642	0.824	-289.005	0.821
10.696	-554.470	0.258	0.008	0.258	-276.939	0.859	-279.319	0.856
10.709	-535.853	0.237	0.008	0.237	-267.641	0.789	-269.753	0.786
10.722	-546.376	0.221	0.008	0.221	-272.896	0.737	-274.906	0.734
10.735	-576.325	0.247	0.008	0.247	-287.855	0.824	-290.228	0.821
10.748	-570.659	0.258	0.008	0.258	-285.025	0.859	-287.474	0.856
10.761	-534.234	0.253	0.008	0.253	-266.832	0.842	-269.078	0.838
