TIME	LOAD	DISPLACEMENT	STRAIN GAGE	•ËL	E.STRESS	E.STRAIN	T.STRESS	T.STRAIN
10.260	-940.576	-0.063	0.000	-0.063	-183.510	-0.115	-183.299	-0.115
10.273	-930.862	-0.058	0.000	-0.058	-181.615	-0.105	-181.424	-0.105
10.286	-896.056	-0.063	0.000	-0.063	-174.824	-0.115	-174.623	-0.115
10.299	-897.675	-0.089	0.000	-0.089	-175.140	-0.163	-174.855	-0.163
10.312	-923.577	-0.074	0.001	-0.074	-180.194	-0.134	-179.952	-0.134
10.325	-933.291	-0.074	0.000	-0.074	-182.089	-0.134	-181.845	-0.134
10.338	-906.579	-0.053	0.000	-0.053	-176.877	-0.096	-176.708	-0.096
10.351	-883.914	-0.084	0.000	-0.084	-172.455	-0.153	-172.191	-0.153
10.364	-899.294	-0.084	0.001	-0.084	-175.456	-0.153	-175.187	-0.153
10.377	-922.768	-0.074	0.001	-0.074	-180.036	-0.134	-179.795	-0.134
10.390	-912.245	-0.058	0.000	-0.058	-177.983	-0.105	-177.795	-0.105
10.403	-881.486	-0.068	0.000	-0.068	-171.982	-0.124	-171.768	-0.124
10.415	-875.820	-0.089	0.000	-0.089	-170.876	-0.163	-170.598	-0.163
10.428	-894.437	-0.068	0.001	-0.068	-174.508	-0.124	-174.291	-0.124
10.441	-906.579	-0.068	0.000	-0.068	-176.877	-0.124	-176.657	-0.124
10.454	-870.154	-0.058	0.000	-0.058	-169.771	-0.105	-169.592	-0.105
10.467	-849.108	-0.079	0.000	-0.079	-165.664	-0.143	-165.427	-0.144
10.480	-854.774	-0.084	0.000	-0.084	-166.770	-0.153	-166.515	-0.153
10.493	-872.582	-0.058	0.001	-0.058	-170.244	-0.105	-170.065	-0.105
10.506	-852.346	-0.053	0.000	-0.053	-166.296	-0.096	-166.137	-0.096
10.519	-828.063	-0.063	0.000	-0.063	-161.558	-0.115	-161.373	-0.115
10.532	-817.540	-0.084	0.000	-0.084	-159.505	-0.153	-159.261	-0.153
10.545	-847.489	-0.068	0.000	-0.068	-165.349	-0.124	-165.143	-0.124
10.558	-849.918	-0.058	0.000	-0.058	-165.822	-0.105	-165.648	-0.105
10.571	-826.444	-0.037	0.000	-0.037	-161.243	-0.067	-161.135	-0.067
10.584	-799.732	-0.068	0.000	-0.068	-156.031	-0.124	-155.837	-0.124
10.597	-809.445	-0.079	0.000	-0.079	-157.926	-0.143	-157.699	-0.144
10.610	-832.110	-0.058	0.000	-0.058	-162.348	-0.105	-162.177	-0.105
10.623	-818.349	-0.042	0.000	-0.042	-159.663	-0.077	-159.541	-0.077
10.636	-787.590	-0.058	0.000	-0.058	-153.662	-0.105	-153.500	-0.105
10.649	-777.877	-0.084	0.000	-0.084	-151.767	-0.153	-151.535	-0.153
10.662	-798.923	-0.063	0.001	-0.063	-155.873	-0.115	-155.694	-0.115
10.675	-794.066	-0.053	0.000	-0.053	-154.925	-0.096	-154.777	-0.096
10.688	-777.877	-0.063	0.000	-0.063	-151.767	-0.115	-151.593	-0.115
10.701	-739.024	-0.063	0.000	-0.063	-144.187	-0.115	-144.021	-0.115
10.714	-748.737	-0.068	0.000	-0.068	-146.082	-0.124	-145.900	-0.124
10.727	-773.020	-0.058	0.000	-0.058	-150.819	-0.105	-150.661	-0.105
10.740	-763.307	-0.032	0.000	-0.032	-148.924	-0.057	-148.839	-0.057
10.753	-722.025	-0.053	0.000	-0.053	-140.870	-0.096	-140.735	-0.096
