TIME	LOAD	DISPLACEMENT	STRAIN GAGE	•ËL	E.STRESS	E.STRAIN	T.STRESS	T.STRAIN
10.254	-725.263	-0.110	-0.037	-0.110	-184.819	-0.458	-183.972	-0.459
10.319	-717.978	-0.121	-0.037	-0.121	-182.962	-0.502	-182.045	-0.503
10.383	-696.932	-0.132	-0.037	-0.132	-177.599	-0.545	-176.631	-0.547
10.448	-706.646	-0.147	-0.037	-0.147	-180.074	-0.611	-178.975	-0.612
10.513	-719.597	-0.137	-0.037	-0.137	-183.375	-0.567	-182.335	-0.569
10.578	-734.976	-0.126	-0.037	-0.126	-187.294	-0.523	-186.314	-0.525
10.643	-752.784	-0.126	-0.037	-0.126	-191.832	-0.523	-190.828	-0.525
10.707	-747.928	-0.116	-0.037	-0.116	-190.594	-0.480	-189.680	-0.481
10.785	-704.217	-0.126	-0.037	-0.126	-179.456	-0.523	-178.516	-0.525
10.850	-700.170	-0.126	-0.036	-0.126	-178.424	-0.523	-177.491	-0.525
10.915	-701.789	-0.142	-0.036	-0.142	-178.837	-0.589	-177.784	-0.590
10.980	-706.646	-0.142	-0.036	-0.142	-180.074	-0.589	-179.014	-0.590
11.045	-714.740	-0.132	-0.036	-0.132	-182.137	-0.545	-181.144	-0.547
11.109	-727.691	-0.126	-0.035	-0.126	-185.437	-0.523	-184.467	-0.525
11.174	-721.216	-0.110	-0.035	-0.110	-183.787	-0.458	-182.946	-0.459
11.239	-705.027	-0.116	-0.035	-0.116	-179.662	-0.480	-178.800	-0.481
11.304	-688.029	-0.110	-0.035	-0.110	-175.330	-0.458	-174.527	-0.459
11.369	-671.840	-0.126	-0.035	-0.126	-171.205	-0.523	-170.309	-0.525
11.434	-671.030	-0.142	-0.035	-0.142	-170.999	-0.589	-169.992	-0.590
11.498	-664.555	-0.142	-0.035	-0.142	-169.348	-0.589	-168.351	-0.590
11.563	-673.459	-0.137	-0.034	-0.137	-171.617	-0.567	-170.644	-0.569
11.628	-683.981	-0.121	-0.034	-0.121	-174.299	-0.502	-173.425	-0.503
11.693	-694.504	-0.116	-0.034	-0.116	-176.980	-0.480	-176.131	-0.481
11.758	-688.838	-0.105	-0.034	-0.105	-175.536	-0.436	-174.771	-0.437
11.835	-643.509	-0.121	-0.034	-0.121	-163.985	-0.502	-163.163	-0.503
11.900	-635.415	-0.137	-0.033	-0.137	-161.923	-0.567	-161.005	-0.569
