TIME	LOAD	DISPLACEMENT	STRAIN GAGE	•ËL	E.STRESS	E.STRAIN	T.STRESS	T.STRAIN
10.234	-621.654	-0.089	0.000	-0.089	-215.622	-0.199	-215.193	-0.199
10.247	-585.229	-0.095	0.000	-0.095	-202.988	-0.210	-202.560	-0.211
10.260	-573.087	-0.105	0.000	-0.105	-198.776	-0.234	-198.311	-0.234
10.273	-583.610	-0.110	0.000	-0.110	-202.426	-0.246	-201.929	-0.246
10.286	-607.084	-0.089	0.000	-0.089	-210.568	-0.199	-210.150	-0.199
10.299	-586.038	-0.074	0.000	-0.074	-203.268	-0.164	-202.936	-0.164
10.312	-560.946	-0.105	0.000	-0.105	-194.565	-0.234	-194.110	-0.234
10.325	-560.946	-0.116	0.000	-0.116	-194.565	-0.257	-194.064	-0.258
10.338	-581.991	-0.100	0.000	-0.100	-201.865	-0.222	-201.416	-0.222
10.351	-580.372	-0.084	0.000	-0.084	-201.303	-0.187	-200.927	-0.187
10.364	-543.138	-0.089	0.000	-0.089	-188.388	-0.199	-188.014	-0.199
10.377	-529.377	-0.105	0.000	-0.105	-183.615	-0.234	-183.186	-0.234
10.390	-538.281	-0.105	0.000	-0.105	-186.704	-0.234	-186.267	-0.234
10.403	-563.374	-0.084	0.000	-0.084	-195.407	-0.187	-195.042	-0.187
10.416	-543.947	-0.068	0.000	-0.068	-188.669	-0.152	-188.382	-0.152
10.429	-518.855	-0.084	0.000	-0.084	-179.966	-0.187	-179.629	-0.187
10.442	-509.951	-0.100	0.000	-0.100	-176.877	-0.222	-176.484	-0.222
10.455	-543.138	-0.100	0.000	-0.100	-188.388	-0.222	-187.970	-0.222
10.468	-547.995	-0.084	0.000	-0.084	-190.073	-0.187	-189.717	-0.187
10.481	-511.569	-0.084	0.000	-0.084	-177.439	-0.187	-177.107	-0.187
10.494	-497.809	-0.110	0.000	-0.110	-172.666	-0.246	-172.242	-0.246
10.507	-501.047	-0.100	0.000	-0.100	-173.789	-0.222	-173.403	-0.222
10.520	-526.949	-0.079	0.000	-0.079	-182.773	-0.175	-182.453	-0.176
10.533	-512.379	-0.058	0.000	-0.058	-177.719	-0.129	-177.491	-0.129
10.546	-484.048	-0.084	0.000	-0.084	-167.893	-0.187	-167.579	-0.187
10.559	-479.192	-0.089	0.000	-0.089	-166.208	-0.199	-165.878	-0.199
10.572	-507.522	-0.089	0.000	-0.089	-176.035	-0.199	-175.685	-0.199
10.585	-513.998	-0.063	0.000	-0.063	-178.281	-0.140	-178.031	-0.140
10.598	-480.001	-0.074	0.000	-0.074	-166.489	-0.164	-166.217	-0.164
10.610	-458.956	-0.079	0.000	-0.079	-159.189	-0.175	-158.910	-0.176
10.623	-471.097	-0.100	0.000	-0.100	-163.401	-0.222	-163.038	-0.222
10.636	-498.618	-0.079	0.000	-0.079	-172.947	-0.175	-172.643	-0.176
10.649	-474.335	-0.053	0.000	-0.053	-164.524	-0.117	-164.332	-0.117
10.662	-453.289	-0.095	0.000	-0.095	-157.224	-0.210	-156.893	-0.211
10.675	-449.242	-0.089	0.000	-0.089	-155.820	-0.199	-155.511	-0.199
10.688	-464.622	-0.079	0.000	-0.079	-161.155	-0.175	-160.872	-0.176
